Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,
US East (N. Virginia),Route 53 Estimate,Amazon Route 53,0,938,11256,USD,"Number of domains stored (1), Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)",
US East (N. Virginia),VPC Estimate,Network Address Translation (NAT) Gateway,0,37.35,448.2,USD,Number of NAT Gateways (1),
US East (N. Virginia),VPC Estimate,Data Transfer,0,204.8,2457.6,USD,"DT Inbound: Internet (0 TB per month), DT Outbound: All other regions (5 TB per month), DT Intra-Region: (5 TB per month), Data transfer cost (204.8)",
US East (N. Virginia),Appliction Load Balancer Estimate,Application Load Balancer,0,1200.85,14410.2,USD,Number of Application Load Balancers (2),
US East (N. Virginia),Web Server Estimate,Amazon EC2,0,1051.78,12621.36,USD,"Operating system (Linux), Quantity (16), Pricing strategy (On-Demand Instances), Storage amount (50 GB), Instance type (t3.large)",
US East (N. Virginia),Application Web Server Estimate,Amazon EC2,0,1341,16092,USD,"Operating system (Linux), Quantity (20), Pricing strategy (On-Demand Instances), Storage amount (50 GB), Instance type (c5.large)",
US East (N. Virginia),S3 Estimate,S3 Standard,0,471.04,5652.48,USD,S3 Standard storage (20 TB per month),
US East (N. Virginia),S3 Estimate,S3 Standard - Infrequent Access,0,256,3072,USD,S3 Standard-IA storage (20 TB per month),
US East (N. Virginia),S3 Estimate,Data Transfer,0,20.48,245.76,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: All other regions (1 TB per month)",
US East (N. Virginia),CloudFront Estimate,Amazon CloudFront,0,10.5,126,USD,"Data transfer out to internet (100 GB per month), Data transfer out to origin (100 GB per month), Number of requests (HTTPS) ( per month)",
US East (N. Virginia),PostGres Estimate,Amazon RDS for PostgreSQL,0,2583.12,30997.44,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB per month), Nodes (2), Instance Type (db.m2.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (1 TB)",
US East (N. Virginia),CloudWatch Estimate,Amazon CloudWatch,0,155.9,1870.8,USD,"Number of Metrics (includes detailed and custom metrics) (100), Standard Logs: Data Ingested (100 GB), Logs Delivered to CloudWatch Logs: Data Ingested (100 GB), Logs Delivered to S3: Data Ingested (100 GB)",
,,,,,,,,
Total,,,,8270.82,,,,
